중간고사	기말고사	과제
80	97	71
33	41	51
80	40	37
95	68	69
36	40	15
79	92	94
73	49	34
73	79	65
52	93	68
84	87	81
83	96	79
27	82	52
83	62	66
83	66	61
69	56	44
56	27	23
61	36	45
30	74	57
44	90	70
56	26	32
85	91	94
50	76	66
23	43	33
21	20	9
66	43	43
53	47	52
53	20	25
65	68	80
81	53	55
60	67	41
68	71	59
91	100	92
98	97	83
30	77	56
83	53	59
23	82	51
48	56	30
100	57	78
100	41	55
52	32	17
100	31	39
96	35	47
39	92	61
23	62	50
27	72	49
29	69	60
65	23	34
73	77	57
61	60	57
36	86	55
77	23	36
57	49	30
64	94	81
76	64	69
89	32	52
84	78	66
74	90	83
68	87	80
28	73	64
89	90	100
21	69	60
63	86	84
60	64	47
22	27	11
86	41	55
96	59	76
58	36	11
55	72	80
30	89	80
86	42	57
45	51	31
30	101	70
59	68	71
80	46	67
64	86	68
39	53	40
78	53	50
92	101	78
83	43	62
68	82	82
60	52	58
52	72	60
45	53	47
97	43	47
32	101	75
29	41	35
71	98	83
27	39	40
44	45	27
66	75	75
21	31	26
81	59	64
34	89	78
100	43	46
71	96	74
21	36	35
29	70	54
40	74	61
51	32	27
42	35	43
88	38	44
71	73	82
50	76	74
83	42	39
86	41	45
82	93	90
53	85	68
89	32	40
45	50	44
25	47	30
38	42	43
81	74	84
41	47	34
34	39	23
46	45	52
94	70	61
83	26	25
99	55	54
75	57	70
69	60	54
45	57	46
27	72	55
35	90	78
27	64	62
43	95	67
84	79	82
71	84	71
101	74	90
96	58	59
82	84	69
50	68	59
58	35	52
98	44	51
88	57	69
91	72	80
31	66	54
95	63	73
33	42	50
69	85	75
69	61	44
52	39	34
27	99	66
99	68	75
61	90	72
21	92	76
36	20	32
73	73	75
39	68	73
32	64	51
94	77	74
99	38	46
28	62	55
89	45	44
41	85	68
26	26	22
71	21	25
57	72	67
88	35	57
78	90	78
30	52	37
46	74	39
48	52	52
72	95	72
49	86	81
53	52	43
76	98	84
48	87	97
64	21	29
28	70	72
60	66	69
63	93	79
82	55	56
37	78	74
67	28	21
34	68	60
90	45	54
25	73	54
85	72	74
25	31	19
36	66	54
76	77	56
53	86	71
74	39	45
58	80	68
93	98	78
78	35	37
64	87	58
68	71	72
22	79	67
26	73	62
48	27	23
66	26	22
32	26	13
36	42	41
56	25	23
64	64	72
46	88	85
36	84	64
56	61	48
91	36	56
45	56	57
92	81	76
24	62	45
21	31	4
80	87	93
46	31	12
22	89	72
22	77	61
34	57	45
29	44	30
36	46	38
57	27	22
91	52	43
79	74	78
71	96	83
69	90	72
35	83	71
38	97	75
39	78	47
65	97	107
25	48	38
48	67	53
65	99	82
64	94	95
98	72	88
97	52	53
46	43	55
45	44	18
67	84	65
31	52	45
44	39	27
49	53	60
28	100	82
99	29	28
79	46	49
63	57	52
87	56	57
47	35	31
62	87	85
32	97	70
87	44	64
29	52	44
65	62	68
99	78	71
67	32	60
43	79	69
80	88	85
92	65	58
76	76	58
101	77	83
88	73	75
73	49	74
99	38	35
43	47	32
52	21	43
34	79	62
56	85	72
73	33	32
76	22	33
79	94	95
60	46	54
75	100	86
58	47	33
76	43	54
35	28	37
39	95	80
50	70	59
25	69	53
69	27	35
21	85	65
81	55	61
95	84	67
100	20	24
28	83	63
60	46	49
42	41	28
61	25	45
95	55	55
66	32	35
55	63	47
84	58	73
51	55	36
25	46	26
76	31	23
31	58	50
37	33	30
71	39	42
32	23	20
82	22	9
78	93	85
26	87	88
75	52	51
93	41	43
38	66	56
88	97	88
49	81	53
39	95	70
34	44	24
78	73	73
58	60	60
49	27	21
53	65	71
76	85	73
96	88	102
42	72	67
45	71	72
23	100	66
66	26	31
31	70	56
43	39	38
44	38	36
71	44	55
35	48	32
96	57	66
38	37	19
47	60	47
35	88	62
85	60	58
88	100	76
51	40	45
67	80	85
47	92	81
58	93	85
97	94	93
79	32	30
55	91	63
77	60	73
69	100	82
27	93	70
32	25	16
100	88	80
87	82	91
94	89	90
21	99	75
72	36	39
85	35	73
97	47	35
80	54	48
87	81	85
72	31	42
43	27	18
39	68	51
25	60	61
88	52	61
92	45	50
97	79	80
20	60	54
35	66	61
31	35	2
82	45	60
31	54	23
47	58	57
95	49	51
62	60	44
99	96	92
71	50	50
94	60	52
46	20	25
54	83	74
46	28	32
49	60	30
72	90	82
101	77	78
46	23	24
21	76	65
29	67	62
91	66	64
80	56	62
58	62	66
59	44	42
27	65	60
82	82	88
59	36	13
62	68	75
36	44	36
88	26	48
70	46	49
25	24	17
43	90	76
91	82	97
28	62	62
46	99	95
58	38	35
82	78	80
87	86	90
28	97	49
66	63	73
72	90	83
67	57	57
82	46	52
31	23	29
75	76	67
45	91	80
69	53	50
21	88	47
45	67	66
66	35	43
30	44	47
56	79	67
60	26	11
42	93	81
53	82	64
71	43	48
65	94	92
30	25	27
83	38	40
98	88	87
93	64	50
61	52	49
95	72	64
82	52	52
68	46	33
28	76	79
47	72	55
50	71	71
41	50	57
93	30	39
45	30	27
100	80	85
54	32	51
40	28	38
53	71	44
93	99	103
81	33	38
40	27	7
83	73	68
101	36	42
62	26	31
43	92	65
99	31	52
58	67	45
77	93	85
71	85	71
80	68	60
57	37	47
29	51	36
33	52	47
83	26	40
36	74	41
28	45	38
34	76	58
28	49	34
21	28	26
34	89	66
40	49	33
80	92	89
86	45	67
32	78	86
48	50	31
72	83	41
