퀴즈1	퀴즈2	성적(우수: 1, 불량: 0)
54	58	1
64	66	1
86	64	1
62	51	1
90	58	1
77	34	1
53	46	0
69	51	1
27	79	1
62	100	1
52	46	0
64	54	1
30	47	0
96	68	1
63	99	1
47	62	1
42	33	0
34	97	1
71	80	1
80	24	1
49	36	0
99	34	1
50	37	0
76	20	0
86	90	1
54	64	1
35	99	1
32	33	0
28	94	1
74	63	1
95	74	1
94	48	1
58	85	1
86	67	1
69	51	1
57	62	1
21	49	0
54	23	0
36	62	0
35	89	1
81	38	1
70	60	1
21	60	0
72	66	1
39	98	1
43	96	1
67	26	0
43	67	1
58	100	1
88	22	1
70	80	1
26	80	1
78	61	1
22	56	0
48	61	1
34	28	0
26	44	0
60	49	1
47	83	1
44	76	1
62	56	1
26	20	0
94	45	1
98	54	1
96	55	1
78	52	1
59	37	0
97	86	1
53	32	0
76	79	1
38	91	1
78	58	1
21	23	0
80	94	1
24	47	0
80	76	1
22	27	0
76	66	1
57	49	1
98	48	1
21	51	0
25	33	0
89	79	1
31	38	0
38	74	1
73	78	1
26	36	0
78	59	1
91	23	1
98	30	1
67	57	1
44	32	0
94	100	1
46	88	1
79	84	1
45	57	1
95	49	1
45	85	1
96	76	1
68	95	1
21	73	0
57	87	1
99	83	1
30	29	0
50	99	1
97	35	1
47	100	1
86	88	1
56	48	1
65	57	1
84	91	1
32	95	1
29	28	0
39	31	0
84	50	1
70	26	0
39	62	1
63	78	1
83	60	1
28	42	0
26	97	1
26	46	0
74	46	1
67	65	1
21	29	0
38	52	0
24	39	0
59	98	1
41	52	0
78	64	1
65	37	1
34	55	0
72	36	1
28	42	0
99	61	1
97	73	1
91	82	1
99	74	1
38	59	0
57	81	1
56	95	1
80	64	1
42	60	1
99	44	1
44	35	0
26	27	0
42	96	1
69	58	1
71	28	0
21	43	0
46	40	0
59	66	1
67	38	1
51	22	0
83	25	1
55	49	1
34	99	1
88	82	1
27	32	0
38	34	0
57	69	1
50	56	1
20	84	1
95	100	1
67	23	0
57	80	1
85	91	1
65	35	1
66	85	1
54	43	0
84	32	1
39	94	1
47	95	1
22	78	1
60	94	1
54	85	1
42	93	1
48	78	1
83	28	1
57	27	0
34	34	0
54	52	1
31	70	1
87	68	1
97	32	1
24	96	1
29	90	1
27	39	0
47	71	1
37	20	0
98	30	1
67	33	1
50	28	0
36	29	0
21	68	0
58	60	1
98	73	1
87	89	1
23	24	0
80	33	1
92	22	1
22	65	0
39	65	1
33	35	0
69	54	1
91	24	1
55	23	0
71	43	1
84	59	1
39	95	1
92	75	1
94	73	1
64	63	1
72	42	1
90	26	1
27	49	0
40	95	1
72	58	1
75	21	0
42	41	0
55	67	1
65	86	1
50	38	0
84	74	1
83	31	1
37	76	1
96	20	1
96	28	1
77	22	0
48	30	0
51	70	1
28	60	0
48	80	1
37	36	0
97	73	1
32	97	1
39	42	0
26	20	0
36	86	1
21	46	0
99	99	1
23	84	1
73	100	1
85	78	1
78	35	1
45	61	1
76	22	0
56	22	0
58	100	1
64	60	1
60	51	1
21	67	0
95	43	1
98	55	1
20	32	0
89	41	1
57	49	1
57	61	1
64	77	1
32	22	0
89	44	1
47	29	0
52	72	1
59	50	1
78	77	1
87	95	1
79	35	1
51	49	1
48	36	0
93	80	1
69	94	1
29	69	0
91	70	1
62	33	0
25	95	1
60	56	1
82	33	1
50	73	1
42	78	1
86	63	1
94	23	1
75	63	1
24	23	0
23	28	0
51	60	1
63	50	1
38	35	0
96	75	1
80	75	1
47	75	1
48	38	0
32	51	0
77	83	1
48	75	1
69	34	1
60	87	1
74	61	1
67	80	1
44	85	1
53	57	1
35	23	0
45	61	1
96	62	1
60	42	1
85	63	1
28	80	1
62	25	0
62	24	0
22	63	0
32	68	1
20	32	0
40	59	0
66	90	1
80	54	1
67	71	1
66	73	1
20	88	1
89	46	1
74	87	1
73	74	1
27	67	0
37	81	1
66	25	0
23	40	0
90	34	1
42	79	1
58	82	1
23	96	1
99	53	1
30	93	1
54	97	1
97	66	1
77	96	1
21	69	0
40	23	0
30	33	0
49	89	1
37	94	1
61	53	1
37	88	1
93	62	1
57	21	0
28	36	0
29	77	1
42	99	1
91	99	1
51	21	0
76	32	1
77	71	1
62	96	1
61	80	1
67	29	0
47	95	1
69	52	1
30	94	1
64	95	1
70	35	1
65	26	0
86	29	1
63	22	0
49	50	0
84	33	1
25	49	0
64	82	1
59	90	1
41	95	1
94	60	1
54	82	1
70	27	0
32	91	1
68	54	1
80	100	1
70	23	0
36	27	0
97	49	1
89	82	1
46	49	0
22	22	0
29	56	0
80	70	1
28	64	0
75	95	1
29	69	0
26	31	0
56	70	1
27	89	1
43	68	1
63	57	1
89	63	1
71	51	1
84	26	1
80	98	1
44	77	1
87	42	1
66	61	1
62	52	1
51	25	0
29	80	1
61	87	1
43	78	1
78	92	1
48	25	0
93	93	1
98	35	1
76	48	1
93	60	1
91	61	1
80	26	1
94	92	1
86	59	1
41	53	0
37	89	1
99	78	1
75	94	1
74	56	1
88	26	1
30	71	1
45	83	1
81	30	1
58	55	1
62	61	1
64	32	0
45	68	1
34	71	1
91	82	1
47	67	1
52	75	1
59	32	0
98	54	1
64	28	0
54	62	1
21	69	0
87	36	1
63	28	0
35	41	0
37	30	0
47	86	1
31	93	1
33	70	1
60	26	0
35	49	0
54	68	1
27	69	0
25	78	1
83	87	1
85	44	1
66	75	1
84	22	1
44	74	1
58	53	1
37	29	0
64	85	1
73	37	1
58	49	1
90	75	1
30	39	0
39	96	1
83	40	1
20	54	0
24	83	1
74	89	1
58	93	1
89	86	1
22	30	0
84	26	1
41	40	0
56	83	1
23	39	0
91	21	1
91	49	1
39	27	0
23	46	0
20	47	0
42	65	1
97	28	1
35	97	1
77	46	1
55	82	1
46	88	1
25	77	1
29	79	1
61	73	1
40	93	1
20	92	1
75	28	1
82	23	1
30	89	1
93	24	1
51	60	1
84	52	1
41	70	1
67	95	1
51	73	1
84	39	1
65	43	1
24	98	1
89	40	1
85	67	1
88	83	1
30	25	0
66	94	1
76	23	0
47	28	0
34	47	0
61	38	0
38	89	1
58	42	1
54	92	1
56	75	1
61	62	1
29	40	0
94	95	1
45	49	0
58	94	1
93	83	1
55	84	1
98	97	1
65	67	1
86	30	1
28	40	0
94	30	1
44	99	1
75	59	1
79	97	1
59	22	0
55	29	0
41	27	0
95	61	1
42	42	0
45	76	1
27	91	1
35	32	0
87	92	1
20	20	0
21	69	0
26	51	0
74	29	1
73	41	1
69	62	1
97	74	1
69	63	1
72	39	1
66	45	1
98	48	1
89	62	1
68	55	1
79	60	1
98	76	1
25	48	0
80	26	1
79	83	1
71	59	1
74	41	1
72	98	1
97	68	1
83	51	1
93	56	1
51	42	0
76	54	1
99	35	1
20	30	0
63	66	1
83	68	1
46	20	0
52	59	1
84	60	1
70	51	1
84	92	1
26	39	0
81	38	1
100	37	1
84	34	1
70	63	1
37	82	1
68	91	1
70	79	1
26	66	0
22	57	0
24	51	0
79	65	1
79	46	1
46	46	0
75	75	1
87	81	1
80	71	1
83	63	1
73	26	0
69	91	1
54	68	1
68	70	1
92	93	1
65	63	1
57	74	1
25	53	0
56	27	0
21	48	0
86	33	1
34	61	0
57	31	0
40	29	0
94	36	1
68	83	1
37	37	0
62	76	1
67	38	1
93	84	1
24	89	1
59	90	1
78	79	1
39	99	1
66	73	1
33	65	0
87	51	1
25	33	0
63	98	1
100	77	1
31	98	1
85	31	1
49	20	0
49	100	1
20	85	1
86	30	1
87	74	1
98	28	1
85	98	1
25	49	0
52	22	0
67	30	0
40	67	1
80	69	1
34	41	0
85	59	1
51	42	0
91	90	1
21	73	0
22	47	0
51	65	1
51	56	1
78	60	1
92	59	1
85	25	1
86	98	1
85	84	1
83	34	1
48	25	0
78	23	1
76	59	1
